id,title
8,新修改的《安全生产法》是根据2014年( )第十二届全国人大常委会第十次会议《关于修改(中华人民共和国安全生产法)的决定》第二次修正。
9,修改后的《安全生产法》由习近平主席于2014年签署第十三号令予以公布，自2014年( )起施行。
11,劳动者解除劳动合同，应当提前( )日以书面形式通知用人单位。
14,新安法规定，生产经营单位的( )对重大、特别重大生产安全事故负有责任的，( )不得担任本行业生产经营单位的主要负责人。
16,《安全生产法》规定，矿山、金属冶炼、建筑施工、道路运输单位和危险物品的生产、经营、储存单位，应当设置安全生产管理机构或者配备专职安全生产管理人员。上述以外的其他生产经营单位，从业人员超过( )人的，应当设置安全生产管理机构或者配备专职安全生产管理人员。
18,在生产经营单位的安全生产工作中，最基本的安全管理制度是( )。
20,( )是指通过采用技术和管理手段使事故不发生。( )是通过采取技术和管理手段使事故发生后不造成严重后果或使后果尽可能减少。
22,1依据《安全生产法》的规定，国家对严重危及生产安全的工艺、设备实施( )制度。
26,依据《安全生产法》的规定，生产经营单位的从业人员有权了解其作业场所和工作岗位存在的危险因素、防范措施及( )。
28,全员培训，年度培训学时不少于( )学时。
32,《安全生产法》规定，生产经营单位的( )对本单位的安全生产工作全面负责。
34,有关地方人民政府、负有安全生产监督管理职责的部门，对生产安全事故隐瞒不报、谎报或者( )的，对直接负责的主管人员和其他直接负责人员依法给予处分。
36,依据《安全生产法》的规定，安全生产监督检查人员应当将检查的时间、地点、内容、发现的问题及其处理情况( )。
37,《安全生产法》规定，生产经营单位的主要负责人和安全生产管理人员必须具备与本单位所从事的生产经营活动相应的( )。
40,建筑工程施工现场的消防安全由( )负责。
42,《职业病防治法》规定，对从事接触职业病危害作业的劳动者，用人单位应当按照国务院卫生行政部门的规定组织( )的职业健康检查，并将检查结果如实告知劳动者。
44,依据《职业病防治法》，下列( )项不属于劳动者在职业活动中应尽的职业卫生义务。
45,《生产安全事故报告和调查处理条例》规定，事故发生后，事故单位负责人应当于( )内向事故发生地县级以上人民政府安全生产监督管理部门和负有安全生产监督管理职责的有关部门报告。
47,依据《安全生产法》的规定，( )应当组织有关部门制定本行政区域内生产安全事故应急预案，建立应急救援体系。
49,以下哪种情况不宜采用口对口人工呼吸？
51,火灾致人死亡的最主要原因是( )。
52,下列说法错误的是( )。
54,《安全生产法》规定，因生产安全事故受到损害的从业人员，除依法享有工伤保险外，依照有关民事法律尚有获得赔偿的权利的，有权向( )提出赔偿要求。
56,工伤事故中，如果职工也有责任，职工能否获得工伤补偿( )。
57,安全生产法律责任的形式中，( )在追究安全生产违法行为的法律责任方式中运用最多。
58,劳动能力鉴定的伤残等级一共分为几级，最轻是几级，最重是几级( )。
59,坚持安全发展，要贯彻( )的发展思想。
